Date,Total Requests,Total Context Tokens,Total Generated Tokens,Input Token Cost,Output Token Cost,Total Cost
2024-04-30,0,0,0,0.00,0.00,0.00
2024-04-29,0,0,0,0.00,0.00,0.00
2024-04-28,4,3287,407,1.08,0.40,1.49
2024-04-27,0,0,0,0.00,0.00,0.00
2024-04-26,3,2193,2278,0.72,2.26,2.98
2024-04-25,0,0,0,0.00,0.00,0.00
2024-04-24,0,0,0,0.00,0.00,0.00
2024-04-23,0,0,0,0.00,0.00,0.00
2024-04-22,0,0,0,0.00,0.00,0.00
2024-04-21,0,0,0,0.00,0.00,0.00
2024-04-20,0,0,0,0.00,0.00,0.00
2024-04-19,0,0,0,0.00,0.00,0.00
2024-04-18,0,0,0,0.00,0.00,0.00
2024-04-17,0,0,0,0.00,0.00,0.00
2024-04-16,0,0,0,0.00,0.00,0.00
2024-04-15,0,0,0,0.00,0.00,0.00
2024-04-14,0,0,0,0.00,0.00,0.00
2024-04-13,0,0,0,0.00,0.00,0.00
2024-04-12,0,0,0,0.00,0.00,0.00
2024-04-11,0,0,0,0.00,0.00,0.00
2024-04-10,0,0,0,0.00,0.00,0.00
2024-04-09,0,0,0,0.00,0.00,0.00
2024-04-08,0,0,0,0.00,0.00,0.00
2024-04-07,0,0,0,0.00,0.00,0.00
2024-04-06,0,0,0,0.00,0.00,0.00
2024-04-05,0,0,0,0.00,0.00,0.00
2024-04-04,0,0,0,0.00,0.00,0.00
2024-04-03,0,0,0,0.00,0.00,0.00
2024-04-02,0,0,0,0.00,0.00,0.00
2024-04-01,0,0,0,0.00,0.00,0.00
